,reward,num_moves,num_completed_suits,agent,games,suits,durration
0,18.239,2.968,0.0,r,1000,1,1.1508874893188477
1,17.346,2.743,0.0,r,1000,2,1.1072380542755127
2,16.928,3.058,0.0,r,1000,4,1.1432249546051025
3,67.981,87.985,0.218,a0,1000,1,168.14590787887573
4,24.396,71.92,0.0,a0,1000,2,51.55235171318054
5,12.395,70.903,0.0,a0,1000,4,46.708548069000244
6,64.658,66.292,0.102,a1,1000,1,41.833080530166626
7,24.554,62.809,0.0,a1,1000,2,28.833601713180542
8,14.242,61.798,0.0,a1,1000,4,23.715452194213867
9,129.536,126.123,0.671,a2,1000,1,195.77739548683167
10,24.742,105.767,0.0,a2,1000,2,92.82606816291809
11,7.733,100.167,0.0,a2,1000,4,73.83391451835632
12,140.386,158.777,1.255,a3,1000,1,299.72037172317505
13,7.553,124.896,0.001,a3,1000,2,129.18186807632446
14,-6.813,116.846,0.0,a3,1000,4,99.78361964225769
